GOLD Project ID,Project Name,Project Status,Add Date,Sequencing Strategy
Gp0824499 ,"Freshwater biofilm microbial communities from Arikaree River NEON Field Site, Yuma County, CO, USA - ARIK.20230711.EPIPHYTON.4.DNA-DNA1_v2 ",Permanent Draft ,2024-10-11,Metagenome
Gp0879047 ,"Freshwater biofilm microbial communities from Big Creek NEON Field Site, Shaver Lake, CA, USA - BIGC.20240731.EPILITHON.1.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0879048 ,"Freshwater biofilm microbial communities from Big Creek NEON Field Site, Shaver Lake, CA, USA - BIGC.20240731.EPILITHON.2.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0879049 ,"Freshwater biofilm microbial communities from Big Creek NEON Field Site, Shaver Lake, CA, USA - BIGC.20240731.EPILITHON.3.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0882652 ,"Freshwater biofilm microbial communities from Big Creek NEON Field Site, Shaver Lake, CA, USA - BIGC.20240731.EPIPSAMMON.1.POOL ",Incomplete ,2025-10-03,Metagenome
Gp0882653 ,"Freshwater biofilm microbial communities from Big Creek NEON Field Site, Shaver Lake, CA, USA - BIGC.20240731.EPIPSAMMON.2.POOL ",Incomplete ,2025-10-03,Metagenome
Gp0882654 ,"Freshwater biofilm microbial communities from Big Creek NEON Field Site, Shaver Lake, CA, USA - BIGC.20240731.EPIPSAMMON.3.POOL ",Incomplete ,2025-10-03,Metagenome
Gp0882655 ,"Freshwater biofilm microbial communities from Big Creek NEON Field Site, Shaver Lake, CA, USA - BIGC.20240731.EPIPSAMMON.5.POOL ",Incomplete ,2025-10-03,Metagenome
Gp0812763 ,"Freshwater biofilm microbial communities from Blacktail Deer Creek NEON Field Site, Mammoth, YNP, WY, USA - BLDE.20230801.EPILITHON.1.DNA-DNA1 ",Permanent Draft ,2024-05-17,Metagenome
Gp0812764 ,"Freshwater biofilm microbial communities from Blacktail Deer Creek NEON Field Site, Mammoth, YNP, WY, USA - BLDE.20230801.EPILITHON.2.DNA-DNA1 ",Permanent Draft ,2024-05-17,Metagenome
Gp0812765 ,"Freshwater biofilm microbial communities from Blacktail Deer Creek NEON Field Site, Mammoth, YNP, WY, USA - BLDE.20230801.EPILITHON.3.DNA-DNA1 ",Permanent Draft ,2024-05-17,Metagenome
Gp0812766 ,"Freshwater biofilm microbial communities from Blacktail Deer Creek NEON Field Site, Mammoth, YNP, WY, USA - BLDE.20230801.EPILITHON.4.DNA-DNA1 ",Permanent Draft ,2024-05-17,Metagenome
Gp0812767 ,"Freshwater biofilm microbial communities from Blacktail Deer Creek NEON Field Site, Mammoth, YNP, WY, USA - BLDE.20230801.EPILITHON.5.DNA-DNA1 ",Permanent Draft ,2024-05-17,Metagenome
Gp0812768 ,"Freshwater biofilm microbial communities from Blacktail Deer Creek NEON Field Site, Mammoth, YNP, WY, USA - BLDE.20230801.EPILITHON.6.DNA-DNA1 ",Permanent Draft ,2024-05-17,Metagenome
Gp0812769 ,"Freshwater biofilm microbial communities from Blacktail Deer Creek NEON Field Site, Mammoth, YNP, WY, USA - BLDE.20230801.EPILITHON.7.DNA-DNA1 ",Permanent Draft ,2024-05-17,Metagenome
Gp0812770 ,"Freshwater biofilm microbial communities from Blacktail Deer Creek NEON Field Site, Mammoth, YNP, WY, USA - BLDE.20230801.EPILITHON.8.DNA-DNA1 ",Permanent Draft ,2024-05-17,Metagenome
Gp0879058 ,"Freshwater biofilm microbial communities from Blacktail Deer Creek NEON Field Site, Mammoth, YNP, WY, USA - BLDE.20240722.EPILITHON.1.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0879059 ,"Freshwater biofilm microbial communities from Blacktail Deer Creek NEON Field Site, Mammoth, YNP, WY, USA - BLDE.20240722.EPILITHON.2.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0879060 ,"Freshwater biofilm microbial communities from Blacktail Deer Creek NEON Field Site, Mammoth, YNP, WY, USA - BLDE.20240722.EPILITHON.3.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0879061 ,"Freshwater biofilm microbial communities from Blacktail Deer Creek NEON Field Site, Mammoth, YNP, WY, USA - BLDE.20240722.EPILITHON.4.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0879062 ,"Freshwater biofilm microbial communities from Blacktail Deer Creek NEON Field Site, Mammoth, YNP, WY, USA - BLDE.20240722.EPILITHON.5.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0882680 ,"Freshwater biofilm microbial communities from Blacktail Deer Creek NEON Field Site, Mammoth, YNP, WY, USA - BLDE.20240722.EPILITHON.6.POOL ",Incomplete ,2025-10-03,Metagenome
