gold_project_id,site,sample_name,site_ID,date,layer,subplot,project_status,add_date,sequencing_strategy,community,type,sample_unknown,quadrant,year
Gp0869088,"Talladega National Forest NEON Field Site, Alabama, USA",TALL_002-M-20240618,TALL,2024-06-18,M,002,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869087,"Caribou-Poker Creeks Research Watershed NEON Field Station, Fairbanks North Star Borough, Alaska, USA",BONA_009-O-20240712,BONA,2024-07-12,O,009,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869086,"The Jones Center At Ichauway NEON Field site, Baker County, Georgia, USA",JERC_050-M-20240716,JERC,2024-07-16,M,050,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869085,"The Jones Center At Ichauway NEON Field site, Baker County, Georgia, USA",JERC_049-M-20240716,JERC,2024-07-16,M,049,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869084,"The Jones Center At Ichauway NEON Field site, Baker County, Georgia, USA",JERC_048-M-20240715,JERC,2024-07-15,M,048,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869083,"The Jones Center At Ichauway NEON Field site, Baker County, Georgia, USA",JERC_047-M-20240715,JERC,2024-07-15,M,047,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869082,"The Jones Center At Ichauway NEON Field site, Baker County, Georgia, USA",JERC_007-M-20240717,JERC,2024-07-17,M,007,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869081,"The Jones Center At Ichauway NEON Field site, Baker County, Georgia, USA",JERC_006-M-20240716,JERC,2024-07-16,M,006,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869080,"The Jones Center At Ichauway NEON Field site, Baker County, Georgia, USA",JERC_005-M-20240716,JERC,2024-07-16,M,005,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869079,"The Jones Center At Ichauway NEON Field site, Baker County, Georgia, USA",JERC_004-M-20240716,JERC,2024-07-16,M,004,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
