dnaSampleID,siteID,plotID,subplotID,coreCoordinateX,coreCoordinateY,year,collectDate,sampleTiming,nucleicAcidConcentration,candidate
HARV_001-O-21-20240708-GEN-DNA1,HARV,HARV_001,21,16,3.5,2024,2024-07-08T18:27Z,peakGreenness,138,yes
HARV_001-O-21-20241021-GEN-DNA1,HARV,HARV_001,21,13.5,4.5,2024,2024-10-21T13:13Z,fallWinterTransition,91,yes
HARV_001-O-23-20240417-GEN-DNA1,HARV,HARV_001,23,32,12,2024,2024-04-17T16:12Z,winterSpringTransition,119,yes
HARV_001-O-23-20240708-GEN-DNA1,HARV,HARV_001,23,39.5,5,2024,2024-07-08T17:43Z,peakGreenness,89,no
HARV_001-O-41-20240708-GEN-DNA1,HARV,HARV_001,41,35.5,25,2024,2024-07-08T16:52Z,peakGreenness,91,no
HARV_002-O-21-20240423-GEN-DNA1,HARV,HARV_002,21,7,9.5,2024,2024-04-23T16:20Z,winterSpringTransition,225,no
HARV_002-O-21-20240710-GEN-DNA1,HARV,HARV_002,21,3.5,7.5,2024,2024-07-10T13:16Z,peakGreenness,183,no
HARV_002-O-23-20241017-GEN-DNA1,HARV,HARV_002,23,36.5,13,2024,2024-10-17T17:47Z,fallWinterTransition,149,no
HARV_002-O-39-20240710-GEN-DNA1,HARV,HARV_002,39,16,37.5,2024,2024-07-10T14:14Z,peakGreenness,119,no
HARV_002-O-41-20240423-GEN-DNA1,HARV,HARV_002,41,32,34.5,2024,2024-04-23T16:49Z,winterSpringTransition,134,yes
HARV_002-O-41-20240710-GEN-DNA1,HARV,HARV_002,41,38,36,2024,2024-07-10T14:51Z,peakGreenness,144,yes
HARV_002-O-41-20241017-GEN-DNA1,HARV,HARV_002,41,38.5,26.5,2024,2024-10-17T18:29Z,fallWinterTransition,69,yes
HARV_004-O-21-20241016-GEN-DNA1,HARV,HARV_004,21,8,5.5,2024,2024-10-16T17:39Z,fallWinterTransition,123,no
HARV_004-O-23-20240417-GEN-DNA1,HARV,HARV_004,23,38.5,10,2024,2024-04-17T18:47Z,winterSpringTransition,86,no
HARV_004-O-23-20240709-GEN-DNA1,HARV,HARV_004,23,28.5,2,2024,2024-07-09T13:02Z,peakGreenness,182,no
HARV_004-O-39-20240709-GEN-DNA1,HARV,HARV_004,39,0,37,2024,2024-07-09T14:03Z,peakGreenness,94,yes
HARV_004-O-39-20241016-GEN-DNA1,HARV,HARV_004,39,16.5,31.5,2024,2024-10-16T16:59Z,fallWinterTransition,170,yes
HARV_004-O-41-20240417-GEN-DNA1,HARV,HARV_004,41,22,33,2024,2024-04-17T18:14Z,winterSpringTransition,150,yes
HARV_005-O-21-20240423-GEN-DNA1,HARV,HARV_005,21,3,13,2024,2024-04-23T18:09Z,winterSpringTransition,104,no
HARV_005-O-21-20240710-GEN-DNA1,HARV,HARV_005,21,16,4,2024,2024-07-10T17:08Z,peakGreenness,254,yes
HARV_005-O-23-20240423-GEN-DNA1,HARV,HARV_005,23,21,0.5,2024,2024-04-23T18:35Z,winterSpringTransition,136,yes
HARV_005-O-23-20240710-GEN-DNA1,HARV,HARV_005,23,39,13.5,2024,2024-07-10T17:54Z,peakGreenness,223,no
