uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,processedDate,sampleID,sampleCode,pHSampleID,samplingProtocolVersion,horizon,soilInWaterpH,soilInCaClpH,pHSoilInWaterMass,pHWaterVol,waterpHRatio,pHSoilInCaClMass,pHCaClVol,caclpHRatio,pHRemarks,pHMeasuredBy,pHDataQF,publicationDate,release
a4dbe036-7d42-4b3a-9ff4-9e5204a30ea6,D01,HARV,HARV_034,HARV_034.basePlot.bgc,2022-10-10T13:06:00Z,2022-10-10T13:06:00Z,2022-11-01,HARV_034-O-41-20221010,A00000153429,HARV_034-O-41-20221010-PH,NEON.DOC.014048vO,O,3.39,2.65,2.6,20,7.8,2.6,40,15.6,NA,0000-0003-3463-8507,NA,20251217T193548Z,RELEASE-2026
43628e4d-eb5a-4b04-908a-7b3f1dd2ad1f,D01,HARV,HARV_034,HARV_034.basePlot.bgc,2022-10-10T13:41:00Z,2022-10-10T13:41:00Z,2022-10-21,HARV_034-O-39-20221010,A00000153430,HARV_034-O-39-20221010-PH,NEON.DOC.014048vO,O,3.74,3.06,2.6,20,7.8,2.6,40,15.6,NA,0000-0003-3463-8507,NA,20251217T193548Z,RELEASE-2026
37e6f174-3aaa-43a6-9862-b751cd001133,D01,HARV,HARV_034,HARV_034.basePlot.bgc,2022-10-10T14:07:00Z,2022-10-10T14:07:00Z,2022-10-21,HARV_034-O-21-20221010,A00000153428,HARV_034-O-21-20221010-PH,NEON.DOC.014048vO,O,3.21,2.5,2.5,20,7.9,2.5,40,15.9,NA,0000-0003-3463-8507,NA,20251217T193548Z,RELEASE-2026
217de047-d2f7-457c-b90d-db9d05edfbd0,D01,HARV,HARV_033,HARV_033.basePlot.bgc,2022-10-10T14:54:00Z,2022-10-10T14:54:00Z,2022-10-20,HARV_033-O-21-20221010,A00000153418,HARV_033-O-21-20221010-PH,NEON.DOC.014048vO,O,3.77,3.18,2.4,20,8.2,2.4,40,16.4,NA,0000-0003-3463-8507,NA,20251217T193548Z,RELEASE-2026
c470a06f-0c90-45e5-b403-1789da9d31cb,D01,HARV,HARV_033,HARV_033.basePlot.bgc,2022-10-10T15:24:00Z,2022-10-10T15:24:00Z,2022-10-20,HARV_033-O-23-20221010,A00000153419,HARV_033-O-23-20221010-PH,NEON.DOC.014048vO,O,4.04,3.48,2.5,20,8.2,2.5,40,16.3,NA,0000-0003-3463-8507,NA,20251217T193548Z,RELEASE-2026
54d06a88-db41-4a05-9a18-055aaaaac5b1,D01,HARV,HARV_033,HARV_033.basePlot.bgc,2022-10-10T16:07:00Z,2022-10-10T16:07:00Z,2022-10-20,HARV_033-O-39-20221010,A00000153420,HARV_033-O-39-20221010-PH,NEON.DOC.014048vO,O,4.01,3.46,2.5,20,7.9,2.5,40,15.7,NA,0000-0003-3463-8507,NA,20251217T193548Z,RELEASE-2026
e17a0bef-c7ae-485e-9642-7217262732af,D01,HARV,HARV_037,HARV_037.basePlot.bgc,2022-10-10T17:26:00Z,2022-10-10T17:26:00Z,2022-10-20,HARV_037-O-21-20221010,A00000153435,HARV_037-O-21-20221010-PH,NEON.DOC.014048vO,O,4.19,3.56,2.6,20,7.8,2.6,40,15.7,NA,0000-0003-3463-8507,NA,20251217T193548Z,RELEASE-2026
36c61746-207d-49e8-8f04-44de207b1d56,D01,HARV,HARV_037,HARV_037.basePlot.bgc,2022-10-10T18:06:00Z,2022-10-10T18:06:00Z,2022-10-20,HARV_037-O-39-20221010,A00000153436,HARV_037-O-39-20221010-PH,NEON.DOC.014048vO,O,3.81,3.19,2.5,20,8.1,2.5,40,16.2,NA,0000-0003-3463-8507,NA,20251217T193548Z,RELEASE-2026
751d8d21-f07a-419f-878d-ef73e62916d3,D01,HARV,HARV_037,HARV_037.basePlot.bgc,2022-10-10T18:37:00Z,2022-10-10T18:37:00Z,2022-10-20,HARV_037-O-41-20221010,A00000153434,HARV_037-O-41-20221010-PH,NEON.DOC.014048vO,O,3.85,3.19,2.5,20,8.1,2.5,40,16.1,NA,0000-0003-3463-8507,NA,20251217T193548Z,RELEASE-2026
74672990-aff9-47fc-addd-53448f183076,D01,HARV,HARV_035,HARV_035.basePlot.bgc,2022-10-10T19:24:00Z,2022-10-10T19:24:00Z,2022-10-20,HARV_035-O-41-20221010,A00000153431,HARV_035-O-41-20221010-PH,NEON.DOC.014048vO,O,3.25,2.69,2.5,20,8,2.5,40,15.9,NA,0000-0003-3463-8507,NA,20251217T193548Z,RELEASE-2026
