NeonID,decimalLatitude,decimalLongitude,site_ID
BONA,65.174447,-147.478155,BONA
CLBJ,33.397987,-97.568339,CLBJ
CPER,40.850866,-104.699535,CPER
GUAN,17.972768,-66.851235,GUAN
HARV,42.424246,-72.258285,HARV
KONZ,39.075067,-96.555874,KONZ
NIWO,40.042345,-105.558975,NIWO
ONAQ,40.193323,-112.464547,ONAQ
ORNL,35.930248,-84.270109,ORNL
OSBS,29.702914,-82.008881,OSBS
PUUM,19.557778,-155.230067,PUUM
SCBI,38.883308,-78.120371,SCBI
SJER,37.116632,-119.730379,SJER
SRER,31.862142,-110.818853,SRER
TALL,32.977665,-87.432705,TALL
TOOL,68.585776,-149.54318,TOOL
UNDE,46.234625,-89.560771,UNDE
WOOD,47.128258,-99.257768,WOOD
WREF,45.831516,-122.018608,WREF
YELL,44.932467,-110.634896,YELL
,47.206173,-99.184204,DCFS
,63.879623,-145.720429,DEJU
,28.074209,-81.425532,DSNY
,31.824646,-88.177623,LENO
,37.3607,-80.524992,MLBS
,35.412699,-99.058259,OAES
,39.037623,-95.196953,UKFS
,,,
 site soil samples from the NEON Biorepository,,,
There are soils samples from NEON sites. To our knowledge they have  not been tested for plant pathogens/pests and thus may contain plant pathogens and pests. ,,,
