Consent,Prior coding experience,Frequency of AI use in this course ,Helpfulness of generative AI  [Suggesting R code to solve problems],Helpfulness of generative AI  [Explaining R code syntax and logic],Helpfulness of generative AI  [Improving code comments and readability],Helpfulness of generative AI  [Brainstorming research questions with NEON metagenomic data],"Helpfulness of generative AI  [‘Vibe code’: generating statistical, network, or other advanced analyses]",Helpfulness of generative AI  [Data wrangling with MAG taxonomy + genome properties + soil chemistry],"Helpfulness of generative AI  [Understanding outputs (plots, statistics, model diagnostics)]",Helpfulness of generative AI  [Using RStudio via OpenOnDemand on the HPC],Could you give short examples of a helpful AI response,Could you give short examples of unhelpful or incorrect AI responses ,Impact on learning [AI made learning R easier],Impact on learning [AI helped me understand R syntax and functions],Impact on learning [AI increased my confidence in writing R code],Impact on learning [AI helped me learn from errors more efficiently],Impact on learning [AI encouraged me to try more complex tasks than I would have otherwise],Impact on metagenomics learning  [AI improved my understanding of MAG taxonomy],Impact on metagenomics learning  [AI helped connect genome properties with soil chemistry],Impact on metagenomics learning  [AI improved my ability to form testable questions using NEON data], Impact on metagenomics learning  [AI helped me interpret R outputs for metagenomics],Impact on metagenomics learning  [AI improved my overall conceptual grasp of metagenomics],Confidence change in programming in R,How much time did using AI save me,Code quality outcomes using AI [My code became more correct (fewer errors)],"Code quality outcomes using AI [My code became more readable (better comments, structure)]",Code quality outcomes using AI [My code became more efficient (faster/simpler)],"Code quality outcomes using AI [My analyses became more reproducible (clear steps, scripts)]",Code quality outcomes using AI [I relied on AI but still validated results],Frequency of incorrect AI output ,"When AI was wrong, I typically… ",Common issues encountered ,Trust calibration [I can usually tell when AI is wrong],Trust calibration [I know how to verify AI-generated code],Trust calibration [AI responses are transparent about uncertainty/limitations],Trust calibration [AI sometimes overstates confidence in its answers],Ethical alignment  [Using AI in this course felt appropriate and ethical],Ethical alignment  [Clear guidelines were provided for AI use],"Ethical alignment  [AI use encouraged learning, not shortcuts]",Ethical alignment  [I understand when/how to credit AI assistance],Did you become more engaged or interactive in solving problems using AI?,Inquiry & exploration [AI helped me identify novel questions using NEON geographic variation],Inquiry & exploration [AI helped me connect MAGs to environmental gradients],Inquiry & exploration [AI exposed me to new analytical methods],Inquiry & exploration [AI helped me scope feasible workflows for our data]," ""Vibe code"" outcomes [AI-generated advanced code was runnable in our environment]"," ""Vibe code"" outcomes [I understood at least the core idea of the advanced methods]"," ""Vibe code"" outcomes [I could critically evaluate the appropriateness of those methods]"," ""Vibe code"" outcomes [I would be able to reproduce the analysis later with notes]",Clarity of instructions on AI use ,Where more support would help ,Suggested changes for future offerings,Overall effectiveness of AI in this course ,Likelihood to recommend AI use in similar courses ,Final comments and suggestions
"Yes, I consent to participate in this survey",Some (one course or self-study),A few times per week,Very helpful,Moderately helpful,Moderately helpful,Very helpful,Very helpful,Very helpful,Very helpful,Moderately helpful,"It telling me how to create statistical analysis formulas to compare data points, and how to map graphs ",When it would tell me to use formulas that needed only numerical values but I had N/A in my values It would tell me to use random names or column types that didn't exist,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Higher,1-2 hrs,Neutral,Neutral,Disagree,Agree,Neutral,Often,"Ran and tested the code in R, Asked follow-up questions to the AI, Consulted the instructor, Ignored or discarded AI suggestions","Hallucinated functions or packages, Incorrect R syntax or arguments, Overcomplicated solutions, Misinterpretation of MAG/soil data, Confident but unsupported claims, Ethical concerns",Neutral,Agree,Disagree,Strongly agree,Neutral,Agree,Neutral,Agree,Slightly less engaged,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Disagree,Clear,"Integrating AI with R, Advanced analyses",More help on github pushing and just using github as a whole,7,6,"Ai really did help and I feel like it is needed for advanced code based on the level of most students in this class, it just made it so coding felt robotic and I learned a little less "
"Yes, I consent to participate in this survey",None,Daily,Extremely helpful,Extremely helpful,Extremely helpful,Extremely helpful,Extremely helpful,Very helpful,Very helpful,Very helpful,Sometime when I didn't know how to attack a problem it would take me through the steps I needed to do before I wrote a code to answer the question like cleaning up or merging data,Sometimes if I had an error it would keep giving me incorrect codes to the point where nothing worked and I did'nt know how to tell fix this issue,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Higher,2-3 hrs,Agree,Agree,Agree,Agree,Agree,Often,"Asked follow-up questions to the AI, Consulted classmates, Ignored or discarded AI suggestions","Incorrect R syntax or arguments, Overcomplicated solutions, Misinterpretation of MAG/soil data",Neutral,Disagree,Disagree,Agree,Agree,Agree,Agree,Neutral,Slightly more engaged,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Clear,"Prompting strategies, Debugging with AI, Verifying AI output, Integrating AI with R",I think AI helped my learning expirence I would just add more to debugging and varifying AI like how to maybe do a monday class on this instead of a lab ,8,8,I liked being able to use AI but I wish I knew what to do if I fall down a rabbit hole of incorrect codes with CoPilot
"Yes, I consent to participate in this survey",Very limited (a few tutorials or labs),About once per week,Extremely helpful,Extremely helpful,Slightly helpful,Moderately helpful,Moderately helpful,Not helpful,Slightly helpful,Slightly helpful,"Before we learned the definitions of regex patterns and I tried to ask AI to create patterns for effective character finding, I used AI to give an explanation of the reasoning and meaning of the regex patterns it generated Even before we formally learned the skill, AI helped me think of advanced regex patterns","When reading the soil mags + soil chem csv file to create Vibe code, AI would either reveal that the file is too big to be read or it would pretend to read it Either way, it would generate code that assumed variables and column names, which were often incorrect",Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Neutral,Much higher,2-3 hrs,Agree,Neutral,Agree,Neutral,Neutral,Often,"Ran and tested the code in R, Asked follow-up questions to the AI, Ignored or discarded AI suggestions","Hallucinated functions or packages, Overcomplicated solutions, Misinterpretation of MAG/soil data, Confident but unsupported claims",Agree,Agree,Disagree,Agree,Agree,Agree,Neutral,Agree,Slightly more engaged,Agree,Agree,Strongly agree,Strongly agree,Disagree,Agree,Neutral,Disagree,Clear,"Prompting strategies, Debugging with AI, Verifying AI output","I definitely think that lab reports should require students to report the prompt that was used to generate any code they used, preceding an exercise I think this is important data for this class and can be used to think of effective prompting strategies

One idea I had, is to use Monday discussions to do either class-wide or team/table debriefing in which we talk about what sort of code we are getting from AI I think a collaborative aspect in this class would be helpful for keeping students on track together",8,8,"Your suggestions of introducing the ""Vibe"" code mini labs earlier in the semester is interesting to me I think it would be helpful in one way, as it sort of shows students our final goals for this class and can give ideas on what AI can be used to achieve On the other hand, it might introduce advanced code too quickly and can make students feel lost or left behind"
"Yes, I consent to participate in this survey",Extensive (multiple courses or projects),About once per week,Very helpful,Moderately helpful,Not helpful,Very helpful,Moderately helpful,Slightly helpful,Slightly helpful,Not helpful,Writing code blocks utilizing functions/libraries I hadn't used before,Many AI responses generate code that contain errors,Neutral,Disagree,Disagree,Agree,Neutral,Disagree,Strongly disagree,Neutral,Disagree,Disagree,Higher,< 05 hr total,Neutral,Disagree,Agree,Disagree,Agree,Often,"Ran and tested the code in R, Checked documentation or help pages, Asked follow-up questions to the AI","Incorrect R syntax or arguments, Misinterpretation of MAG/soil data",Agree,Agree,Disagree,Neutral,Agree,Strongly agree,Disagree,Agree,Much less engaged,Agree,Agree,Agree,Agree,Neutral,Strong agree,Neutral,Agree,Very clear,None,The problems often felt formatted/designed in a way where AI use could easily solve them without requiring critical thinking from the student I think problems that focus more on having students determine what steps (or generated code chunks) would need to be taken could help the course encourage greater learning,7,6,
"Yes, I consent to participate in this survey",None,A few times per week,Very helpful,Very helpful,Very helpful,Very helpful,Slightly helpful,Slightly helpful,Very helpful,Extremely helpful,clarity on homework / studying,using AI for therapy,Agree,Agree,Neutral,Neutral,Stongly disagree,Disagree,Disagree,Neutral,Strongly disagree,Strongly disagree,Higher,3+ hrs,Agree,Agree,Agree,Agree,Agree,Often,"Ran and tested the code in R, Asked follow-up questions to the AI, Consulted classmates, Ignored or discarded AI suggestions","Incorrect R syntax or arguments, Misinterpretation of MAG/soil data",Agree,Agree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Disagree,Slightly less engaged,Disagree,Strongly disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Unclear,"Debugging with AI, Verifying AI output, Advanced analyses",,10,8,
"Yes, I consent to participate in this survey",Very limited (a few tutorials or labs),Daily,Slightly helpful,Very helpful,Slightly helpful,Very helpful,Extremely helpful,Extremely helpful,Moderately helpful,Moderately helpful,Giving me different types of analysis I could do to see spatial autocorrelation for the MAG and metadata dataset ,"The codes it would give me would have a lot of errors, but this was fine because you learn a lot by seeing where those mistakes are and how to fix them yourself",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Much higher,3+ hrs,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Often,"Ran and tested the code in R, Asked follow-up questions to the AI, Consulted classmates","Hallucinated functions or packages, Incorrect R syntax or arguments, Overcomplicated solutions",Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Neutral,Agree,Agree,Much more engaged,Agree,Disagree,Strongly agree,Neutral,Agree,Strong agree,Strong agree,Agree,Clear,"Debugging with AI, Verifying AI output, Ethics & citation, Advanced analyses",Covering more on ethics and AI use ,10,8,"Very well structured, I learned a lot"
"Yes, I consent to participate in this survey",Very limited (a few tutorials or labs),A few times per week,Extremely helpful,Moderately helpful,Extremely helpful,Very helpful,Very helpful,Very helpful,Extremely helpful,Moderately helpful,Making sense of the outputs generated by the code Or clarifying what table categories that have slightly different names from the instructions are most likely to be what the instructions are trying to direct you to,When you're trying to fix a path directory error or use code it's giving you and you don't realize the proper names of the files are wrong and thats the secret reason why nothing is working,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Higher,3+ hrs,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Often,"Ran and tested the code in R, Checked documentation or help pages, Asked follow-up questions to the AI, Consulted classmates, Consulted the instructor","Hallucinated functions or packages, Misinterpretation of MAG/soil data",Disagree,Neutral,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Slightly more engaged,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Clear,"Prompting strategies, Debugging with AI, Integrating AI with R, Advanced analyses",,10,10,
"Yes, I consent to participate in this survey",None,About once per week,Moderately helpful,Slightly helpful,Moderately helpful,Not helpful,Extremely helpful,Very helpful,Extremely helpful,Extremely helpful,It really helped a lot during the lab exercises and it also explains it too,It takes a couple of tries for copilot to understand what is being asked which can be frustrating,Strongly agree,Agree,Disagree,Disagree,Neutral,Disagree,Agree,Neutral,Strongly agree,Neutral,Higher,1-2 hrs,Neutral,Agree,Agree,Neutral,Strongly agree,Often,"Ran and tested the code in R, Asked follow-up questions to the AI","Incorrect R syntax or arguments, Overcomplicated solutions, Misinterpretation of MAG/soil data",Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Slightly more engaged,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Clear,Verifying AI output,"I think because there is a Monday and Wednesday portion, The Monday portion should be spent explaining what the lab on Wednesday will be I found myself using AI a lot for things that I felt could’ve been discussed in class",7,7,
"Yes, I consent to participate in this survey",Moderate (regular use in another language),Daily,Moderately helpful,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,"When working with the NEON Mags dataset, the AI gave very good suggestions on how to go about formatting my data and what errors were preventing my code from running ","When it came to working with GitHub or other external R coding, AI was not able to give very helpful tips and was just reiterating the same response in different wording  ",Disagree,Disagree,Disagree,Neutral,Agree,Disagree,Disagree,Neutral,Agree,Disagree,About the same,2-3 hrs,Neutral,Agree,Agree,Strongly agree,Agree,Often,"Ran and tested the code in R, Asked follow-up questions to the AI, Consulted classmates, Consulted the instructor, Ignored or discarded AI suggestions","Misinterpretation of MAG/soil data, Confident but unsupported claims",Agree,Agree,Disagree,Agree,Neutral,Disagree,Disagree,Disagree,Slightly less engaged,Neutral,Agree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,"Prompting strategies, Debugging with AI, Verifying AI output, Ethics & citation",Some assignments that focus more on the content of the course (ie assignments that teach about NEON and soil chemistry/make up and how the research is advancing) and where AI is not used ,6,5,
"Yes, I consent to participate in this survey",None,Daily,Extremely helpful,Moderately helpful,Not helpful,Slightly helpful,Very helpful,Moderately helpful,Not helpful,Slightly helpful,,,Neutral,Stongly disagree,Disagree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Higher,2-3 hrs,Agree,Neutral,Disagree,Agree,Agree,Often,"Ran and tested the code in R, Asked follow-up questions to the AI, Other – I often had to look into the code and find the error","Incorrect R syntax or arguments, Overcomplicated solutions, Misinterpretation of MAG/soil data",Agree,Neutral,Neutral,Strongly agree,Agree,Agree,Disagree,Agree,No change,Agree,Agree,Strongly agree,Agree,Strong agree,Agree,Neutral,Disagree,Clear,"Prompting strategies, Advanced analyses",,7,3,
