dnaSampleID,imgGenomeID,jgiProjectID,ITS Proposal ID,Sequencing Status,Study Name,GenomeName,Sequencing Center,GOLD Analysis Project ID,GOLD Analysis Project Type,GOLD Sequencing Project ID,GOLD Study ID,Funding Program,Sequencing Method,Sequencing Quality,siteID,collectDate,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Specific Ecosystem,GenomeSize,GeneCount,ScaffoldCount,metaBATbinCount,eukCCbinCount,estNumberGenomes,avgGenomeSize,numberFilteredReads,numberMappedReads,pctAssembledReads
ONAQ_044-M-20190619-COMP-DNA1,3300071018,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Onaqui, Utah, USA - ONAQ_044-M-20190619-COMP-DNA1",Battelle Memorial Institute,Ga0620072,Metagenome Analysis,Gp0766640,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,ONAQ,20190619,Environmental,Terrestrial,Unclassified,Soil,Unclassified,3572089,11955,10633,0,0,0,0,0,0,0
PUUM_031-O-20210104-COMP-DNA1,3300070236,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Puu Makaala Natural Area Reserve, Hawaii, USA - PUUM_031-O-20210104-COMP-DNA1",Battelle Memorial Institute,Ga0619546,Metagenome Analysis,Gp0766114,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,PUUM,20210104,Environmental,Terrestrial,Forest,Soil,Unclassified,88593,313,277,0,0,0,0,0,0,0
TECR.20230821.EPILITHON.8.DNA-DNA1,3300081889,1506438,509938,Permanent Draft,Soil and water microbial communities from various NEON Field Sites across the United States,"Freshwater microbial communities from Teakettle 2 Creek NEON Field Site, Sierra National Forest, CA, USA - TECR.20230821.EPILITHON.8.DNA-DNA1 (version 2)",DOE Joint Genome Institute  (JGI),Ga0672972,Metagenome Analysis,Gp0812633,Gs0166454,CSP,Illumina NovaSeq X 10B,Level 1: Standard Draft,TECR,20230821,Environmental,Aquatic,Creek,Freshwater,Unclassified,832604416,1296700,671686,11,2,147,5663975,186548328,103289387,55.37
KONZ_003-M-20170710-COMP-DNA1,3300039843,0,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Konza Prairie Biological Station, Prairie Peninsula, KS, USA - KONZ_003-M-20170710-COMP-DNA1",Battelle Memorial Institute,Ga0428256,Metagenome Analysis,Gp0476824,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,KONZ,20170710,Environmental,Terrestrial,Unclassified,Soil,Unclassified,22304664,63840,56485,0,0,0,0,0,0,0
REDB.20230712.EPILITHON.3.DNA-DNA1,3300081962,1500369,509938,Permanent Draft,Soil and water microbial communities from various NEON Field Sites across the United States,"Freshwater biofilm microbial communities from Red Butte Creek NEON Field Site, Salt Lake City, Utah, USA - REDB.20230712.EPILITHON.3.DNA-DNA1 (version 2)",DOE Joint Genome Institute  (JGI),Ga0673016,Metagenome Analysis,Gp0812754,Gs0166454,CSP,Illumina NovaSeq X 10B,Level 1: Standard Draft,REDB,20230712,Environmental,Aquatic,Creek,Freshwater,Biofilm,761946630,1113040,522571,23,2,151,5046004,314740482,277723495,88.24
SJER_045-M-23-20230227-GEN-DNA1,3300081272,1529166,509938,Permanent Draft,Soil and water microbial communities from various NEON Field Sites across the United States,"Soil microbial communities from San Joaquin Experimental Range NEON Field site, Yosemite Lakes, California, USA - SJER_045-M-23-20230227-GEN-DNA1",DOE Joint Genome Institute  (JGI),Ga0672839,Metagenome Analysis,Gp0824470,Gs0166454,CSP,Illumina NovaSeq X 25B,Level 1: Standard Draft,SJER,20230227,Environmental,Terrestrial,Unclassified,Soil,Unclassified,751459903,1392536,841917,5,0,215,3495162,296505210,90836088,30.64
CPER_046-M-20140716-COMP-DNA1,3300040331,0,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Central Plains Experimental Range, Central Plains, CO, USA - CPER_046-M-20140716-COMP-DNA1",Argonne National Laboratory,Ga0435313,Metagenome Analysis,Gp0476644,Gs0144570,NA,Illumina HiSeq,Level 1: Standard Draft,CPER,20140716,Environmental,Terrestrial,Unclassified,Soil,Unclassified,4835673,13552,11880,0,0,0,0,0,0,0
CPER_005-M-20230626-COMP-DNA1,3300078709,1490054,509938,Permanent Draft,Soil and water microbial communities from various NEON Field Sites across the United States,"Soil microbial communities from Central Plains Experimental Range, Nunn, Colorado, USA - CPER_005-M-20230626-COMP-DNA1",DOE Joint Genome Institute  (JGI),Ga0643733,Metagenome Analysis,Gp0798355,Gs0166454,CSP,Illumina NovaSeq S4,Level 1: Standard Draft,CPER,20230626,Environmental,Terrestrial,Grasslands,Soil,Unclassified,642935992,1138776,626007,7,0,132,4870727,176536660,75293839,42.65
TOOL_005-O-20190807-COMP-DNA1,3300070841,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Toolik Field Station, Alaska, USA - TOOL_005-O-20190807-COMP-DNA1",Battelle Memorial Institute,Ga0620355,Metagenome Analysis,Gp0766923,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,TOOL,20190807,Environmental,Terrestrial,Unclassified,Soil,Unclassified,2763597,8933,7963,0,0,0,0,0,0,0
YELL_012-M-20180709-COMP-DNA1,3300040491,0,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Yellowstone Northern Range (Frog Rock), Northern Rockies, WY, USA - YELL_012-M-20180709-COMP-DNA1",Battelle Memorial Institute,Ga0428305,Metagenome Analysis,Gp0477186,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,YELL,20180709,Environmental,Terrestrial,Unclassified,Soil,Unclassified,3703507,11811,11006,0,0,0,0,0,0,0
