taxon_oid	NCBI Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID	Genome Size  * assembled	Gene Count  * assembled
3300081835	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Freshwater biofilm microbial communities from Arikaree River NEON Field Site, Yuma County, CO, USA - ARIK.20230711.EPIPHYTON.4.DNA-DNA1_v2	DOE Joint Genome Institute  (JGI)	3300081835	2519816419	4023032
3300080907	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Freshwater biofilm microbial communities from Blacktail Deer Creek NEON Field Site, Mammoth, YNP, WY, USA - BLDE.20230801.EPILITHON.1.DNA-DNA1	DOE Joint Genome Institute  (JGI)	3300080907	1373582401	2141707
3300080908	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Freshwater biofilm microbial communities from Blacktail Deer Creek NEON Field Site, Mammoth, YNP, WY, USA - BLDE.20230801.EPILITHON.2.DNA-DNA1	DOE Joint Genome Institute  (JGI)	3300080908	570277567	892418
3300080916	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Freshwater biofilm microbial communities from Blacktail Deer Creek NEON Field Site, Mammoth, YNP, WY, USA - BLDE.20230801.EPILITHON.3.DNA-DNA1	DOE Joint Genome Institute  (JGI)	3300080916	518624137	894809
3300080909	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Freshwater biofilm microbial communities from Blacktail Deer Creek NEON Field Site, Mammoth, YNP, WY, USA - BLDE.20230801.EPILITHON.4.DNA-DNA1	DOE Joint Genome Institute  (JGI)	3300080909	1020147095	1554869
3300081798	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Freshwater biofilm microbial communities from Blacktail Deer Creek NEON Field Site, Mammoth, YNP, WY, USA - BLDE.20230801.EPILITHON.5.DNA-DNA1	DOE Joint Genome Institute  (JGI)	3300081798	769570663	1178251
3300080910	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Freshwater biofilm microbial communities from Blacktail Deer Creek NEON Field Site, Mammoth, YNP, WY, USA - BLDE.20230801.EPILITHON.6.DNA-DNA1	DOE Joint Genome Institute  (JGI)	3300080910	1611782559	2525016
3300083029	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Freshwater biofilm microbial communities from Blacktail Deer Creek NEON Field Site, Mammoth, YNP, WY, USA - BLDE.20230801.EPILITHON.7.DNA-DNA1	DOE Joint Genome Institute  (JGI)	3300083029	1610075642	2551521
3300082793	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Freshwater biofilm microbial communities from Blacktail Deer Creek NEON Field Site, Mammoth, YNP, WY, USA - BLDE.20230801.EPILITHON.8.DNA-DNA1	DOE Joint Genome Institute  (JGI)	3300082793	1530430725	2385798
3300081961	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Freshwater biofilm microbial communities from Blue River NEON Field Site, Connerville, Oklahoma, USA - BLUE.20230726.EPILITHON.1.DNA-DNA1 (version 2)	DOE Joint Genome Institute  (JGI)	3300081961	688147776	1217985
3300081960	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Freshwater biofilm microbial communities from Blue River NEON Field Site, Connerville, Oklahoma, USA - BLUE.20230726.EPILITHON.2.DNA-DNA1 (version 2)	DOE Joint Genome Institute  (JGI)	3300081960	731950918	1356245
3300081959	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Freshwater biofilm microbial communities from Blue River NEON Field Site, Connerville, Oklahoma, USA - BLUE.20230726.EPILITHON.4.DNA-DNA1 (version 2)	DOE Joint Genome Institute  (JGI)	3300081959	789793807	1343813
3300081958	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Freshwater biofilm microbial communities from Blue River NEON Field Site, Connerville, Oklahoma, USA - BLUE.20230726.EPILITHON.5.DNA-DNA1 (version 2)	DOE Joint Genome Institute  (JGI)	3300081958	540934247	1006837
3300081718	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Freshwater biofilm microbial communities from Blue River NEON Field Site, Connerville, Oklahoma, USA - BLUE.20230726.EPILITHON.6.DNA-DNA1 (version 2)	DOE Joint Genome Institute  (JGI)	3300081718	429687176	733222
3300081957	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Freshwater biofilm microbial communities from Blue River NEON Field Site, Connerville, Oklahoma, USA - BLUE.20230726.EPILITHON.7.DNA-DNA1 (version 2)	DOE Joint Genome Institute  (JGI)	3300081957	1216157453	2020518
3300081922	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Freshwater biofilm microbial communities from Blue River NEON Field Site, Connerville, Oklahoma, USA - BLUE.20230726.EPILITHON.8.DNA-DNA1 (version 2)	DOE Joint Genome Institute  (JGI)	3300081922	871352253	1433118
