taxon_oid	NCBI Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID	GOLD Study ID	Ecosystem	Ecosystem Category	Ecosystem Subtype	Ecosystem Type	Specific Ecosystem	Latitude	Genome Size  * assembled	Gene Count  * assembled	MetaBAT Bin Count  * assembled	EukCC Bin Count  * assembled	GC  * assembled	Predicted Viruses	Predicted Plasmids
3300070840	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Toolik Field Station, Alaska, USA - TOOL_005-O-20180807-COMP-DNA1	Battelle Memorial Institute	3300070840	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	68.560148	1890477	6427	0	0	59.02		
3300070880	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Wind River Experimental Forest, Washington, USA - WREF_001-M-20190619-COMP-DNA1	Battelle Memorial Institute	3300070880	Gs0144570	Environmental	Terrestrial	Forest	Soil	Unclassified	45.844033	60707029	178788	0	0	59.92		
3300070784	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Puu Makaala Natural Area Reserve, Hawaii, USA - PUUM_010-O-20200106-COMP-DNA1	Battelle Memorial Institute	3300070784	Gs0144570	Environmental	Terrestrial	Forest	Soil	Unclassified	19.564817	14156151	45778	0	0	61.82		
3300040580	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Ordway-Swisher Biological Station, Southeast, FL, USA - OSBS_004-M-20131112-COMP-DNA1	Argonne National Laboratory	3300040580	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	29.68927	1992951	6018	0	0	58.63	0	0
3300040540	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Steigerwaldt Land Services, Great Lakes, WI, USA - STEI_002-M-20160721-COMP-DNA1	Battelle Memorial Institute	3300040540	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	45.50894	2710323	8154	0	0	64.68	0	0
3300070346	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Caribou-Poker Creeks Research Watershed, Alaska, USA - BONA_071-M-20190826-COMP-DNA1	Battelle Memorial Institute	3300070346	Gs0144570	Environmental	Terrestrial	Forest	Soil	Unclassified	65.154979	5264685	16536	0	0	59.44		
3300070386	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Harvard Forest , Massachusetts, USA - HARV_013-O-20190717-COMP-DNA1	Battelle Memorial Institute	3300070386	Gs0144570	Environmental	Terrestrial	Forest	Soil	Unclassified	42.392282	10040327	31891	0	0	58.32		
3300040535	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Central Plains Experimental Range, Central Plains, CO, USA - CPER_001-M-20160720-COMP-DNA1	Battelle Memorial Institute	3300040535	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	40.81553	2916760	9653	0	0	66.21	0	0
3300070365	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Dead Lake, Alabama, USA - DELA_003-M-20190626-COMP-DNA1	Battelle Memorial Institute	3300070365	Gs0144570	Environmental	Terrestrial	Wetlands	Soil	Unclassified	32.534942	21378185	61168	0	0	69.72		
3300069379	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from UNDERC, Great Lakes, MI, USA - UNDE_035-O-20160803-COMP-DNA1 re-annotation	Battelle Memorial Institute	3300069379	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	46.23388	16295991	51266	0	0	60.39		
3300040522	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Central Plains Experimental Range, Central Plains, CO, USA - CPER_003-M-35-15-20140415-GEN-DNA1	Argonne National Laboratory	3300040522	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	40.81553	2717478	8362	0	0	67.5	0	0
3300071060	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Puu Makaala Natural Area Reserve, Hawaii, USA - PUUM_031-M-20190104-COMP-DNA1	Battelle Memorial Institute	3300071060	Gs0144570	Environmental	Terrestrial	Forest	Soil	Unclassified	19.553624	108446319	305325	0	0	59.34		
3300070550	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Talladega National Forest, Alabama, USA - TALL_006-M-20190617-COMP-DNA1	Battelle Memorial Institute	3300070550	Gs0144570	Environmental	Terrestrial	Forest	Soil	Unclassified	32.898842	12812094	41612	0	0	64.77		
3300039929	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Ordway-Swisher Biological Station, Southeast, FL, USA - OSBS_006-M-5-30-20130726-GEN-DNA1	Argonne National Laboratory	3300039929	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	29.68927	20826683	52636	0	0	59.89	1	0
